state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
PT,Aveiro District,2020-02-16,6.453,-35.013,1.064,-8.409,5.535,1.021
PT,Aveiro District,2020-02-17,7.99,,0.22,-2.969,4.269,3.665
PT,Aveiro District,2020-02-18,5.232,15.861,-0.754,1.44,,3.286
PT,Aveiro District,2020-02-19,3.627,27.036,-1.075,3.321,,2.891
PT,Aveiro District,2020-02-20,3.769,32.826,-1.829,5.561,8.605,1.939
PT,Aveiro District,2020-02-21,6.263,40.9,-1.826,8.255,17.038,0.889
PT,Aveiro District,2020-02-22,8.069,54.503,-2.262,10.633,40.625,-0.266
PT,Aveiro District,2020-02-23,8.084,58.403,-3.873,9.511,53.845,-1.167
PT,Aveiro District,2020-02-24,29.547,133.984,5.114,29.355,69.16,-33.822
PT,Aveiro District,2020-02-25,5.7,69.016,20.653,-0.48,41.667,-75.448
PT,Aveiro District,2020-02-26,6.096,29.421,3.355,-1.822,1.722,-12.325
PT,Aveiro District,2020-02-27,3.09,33.263,-0.416,0.907,9.511,0.697
PT,Aveiro District,2020-02-28,10.646,16.935,-0.7,2.372,6.583,1.134
PT,Aveiro District,2020-02-29,9.95,-19.992,1.073,-0.991,-4.167,0.71
PT,Aveiro District,2020-03-01,3.191,-59.856,3.812,-18.145,-13.084,-1.167
PT,Aveiro District,2020-03-02,12.889,-11.617,0.234,-1.5,-0.427,3.727
PT,Aveiro District,2020-03-03,10.385,-12.86,-0.021,-2.31,-9.115,2.555
PT,Aveiro District,2020-03-04,9.028,-4.373,0.127,0.382,-7.317,2.435
PT,Aveiro District,2020-03-05,9.422,4.377,-0.473,2.868,-1.812,2.363
PT,Aveiro District,2020-03-06,7.376,4.154,-0.428,2.735,3.872,2.115
PT,Aveiro District,2020-03-07,4.975,23.569,-1.485,6.488,4.167,1.687
PT,Aveiro District,2020-03-08,7.8,-38.209,1.316,-8.184,-12.077,0.146
PT,Aveiro District,2020-03-09,15.301,6.583,0.303,-1.898,-3.415,2.733
PT,Aveiro District,2020-03-10,23.66,25.72,0.086,0.03,-7.378,2.008
PT,Aveiro District,2020-03-11,34.336,17.096,1.472,-1.675,-13.344,0.152
PT,Aveiro District,2020-03-12,32.863,13.568,3.774,-8.459,-19.022,-4.09
PT,Aveiro District,2020-03-13,24.981,-17.255,10.767,-27.161,-36.013,-10.512
PT,Aveiro District,2020-03-14,-11.163,-37.037,15.529,-50.551,-46.354,-17.672
PT,Aveiro District,2020-03-15,-39.851,-76.563,18.454,-70.729,-72.967,-28.157
PT,Aveiro District,2020-03-16,-11.306,-49.179,22.827,-52.711,-64.464,-37.983
PT,Aveiro District,2020-03-17,-12.728,-29.578,24.001,-54.543,-65.538,-43.352
PT,Aveiro District,2020-03-18,-12.963,-38.963,27.073,-57.668,-68.871,-49.238
PT,Aveiro District,2020-03-19,-34.597,-47.269,31.518,-67.552,-75.634,-55.022
PT,Aveiro District,2020-03-20,-40.567,-76.687,39.403,-78.99,-82.094,-57.86
PT,Aveiro District,2020-03-21,-47.2,-75.968,28.686,-82.112,-82.292,-58.078
PT,Aveiro District,2020-03-22,-61.408,-79.759,24.196,-86.222,-84.541,-53.25
PT,Aveiro District,2020-03-23,-41.38,-58.473,34.064,-74.107,-79.833,-58.854
PT,Aveiro District,2020-03-24,-36.544,-50.154,33.838,-73.685,-81.597,-59.841
PT,Aveiro District,2020-03-25,-39.275,-58.842,34.45,-74.333,-82.645,-60.254
PT,Aveiro District,2020-03-26,-39.873,-57.335,34.896,-74.957,-80.616,-60.749
PT,Aveiro District,2020-03-27,-35.557,-62.947,39.503,-75.94,-82.094,-60.434
PT,Aveiro District,2020-03-28,-47.321,-76.81,28.014,-80.918,-80.729,-56.39
PT,Aveiro District,2020-03-29,-63.748,-87.605,24.61,-86.847,-86.554,-55.001
PT,Azores,2020-02-16,6.224,15.6,,3.543,14.881,0.484
PT,Azores,2020-02-17,1.975,14.725,,1.456,9.629,0.631
PT,Azores,2020-02-18,-0.246,10.851,,1.297,5.787,0.998
PT,Azores,2020-02-19,,2.137,,-2.629,2.717,-0.497
PT,Azores,2020-02-20,4.09,16.768,,4.813,16.304,-0.494
PT,Azores,2020-02-21,9.407,20.833,,7.856,14.671,-2.365
PT,Azores,2020-02-22,7.151,35.034,,8.263,10.19,0.989
PT,Azores,2020-02-23,10.81,65.922,,14.031,-5.952,3.391
PT,Azores,2020-02-24,12.836,57.81,,26.075,-2.626,-31.275
PT,Azores,2020-02-25,-21.865,60.764,,-7.783,,-74.476
PT,Azores,2020-02-26,-2.671,16.026,,-3.38,14.493,-24.21
PT,Azores,2020-02-27,-1.443,3.557,,-2.592,7.246,-2.962
PT,Azores,2020-02-28,10.095,5.556,,-2.26,-1.467,-1.867
PT,Azores,2020-02-29,6.436,10.277,,-0.233,11.322,1.978
PT,Azores,2020-03-01,13.758,21.135,,3.968,14.881,0.969
PT,Azores,2020-03-02,5.677,17.452,,2.515,8.754,1.009
PT,Azores,2020-03-03,2.948,7.595,,1.038,6.752,1.747
PT,Azores,2020-03-04,4.613,18.162,,0.876,2.717,0.372
PT,Azores,2020-03-05,4.571,25.915,,2.592,7.246,0.617
PT,Azores,2020-03-06,7.113,12.5,,-0.968,-2.201,0.249
PT,Azores,2020-03-07,5.721,7.941,,1.047,6.793,2.637
PT,Azores,2020-03-08,14.741,33.213,,5.952,2.976,2.907
PT,Azores,2020-03-09,9.133,21.27,,2.647,9.629,1.009
PT,Azores,2020-03-10,7.862,28.212,,3.892,6.752,1.372
PT,Azores,2020-03-11,10.441,13.355,,-0.125,,-0.621
PT,Azores,2020-03-12,20.448,11.179,,-2.839,7.246,-0.123
PT,Azores,2020-03-13,28.68,9.722,,-12.913,-11.004,-1.618
PT,Azores,2020-03-14,2.145,-4.671,,-33.52,-9.058,-7.252
PT,Azores,2020-03-15,-15.396,-12.581,,-47.902,-27.778,-12.112
PT,Azores,2020-03-16,-9.38,-25.087,,-44.076,-39.391,-37.707
PT,Azores,2020-03-17,-26.042,-34.18,,-54.353,-44.367,-49.027
PT,Azores,2020-03-18,-26.224,-43.803,,-60.096,-60.688,-53.263
PT,Azores,2020-03-19,-41.137,-54.37,,-69.239,-71.558,-58.501
PT,Azores,2020-03-20,-38.776,-54.63,,-76.188,-82.16,-61.231
PT,Azores,2020-03-21,-46.005,-65.396,,-80.424,-81.522,-46.809
PT,Azores,2020-03-22,-53.394,-61.896,,-85.459,-90.278,-46.027
PT,Azores,2020-03-23,-42.703,-55.083,,-75.048,-84.034,-63.812
