state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
Rhode Island,Bristol County,2020-02-16,-24.802,11.975,-0.601,4.929,6.716,6.352
Rhode Island,Bristol County,2020-02-17,-18.999,90.974,6.914,13.889,-13.363,-41.667
Rhode Island,Bristol County,2020-02-18,-21.258,-11.181,2.828,0.659,-3.004,-15.89
Rhode Island,Bristol County,2020-02-19,-25.538,16.376,0.907,5.334,0.392,-7.225
Rhode Island,Bristol County,2020-02-20,-22.118,6.574,1.233,5.403,1.382,-6.985
Rhode Island,Bristol County,2020-02-21,-15.06,1.3,1.929,5.171,-1.315,-7.073
Rhode Island,Bristol County,2020-02-22,-18.832,89.289,-1.238,12.241,5.31,3.623
Rhode Island,Bristol County,2020-02-23,-14.261,105.78,-1.357,24.317,7.631,10.163
Rhode Island,Bristol County,2020-02-24,-17.034,87.206,-0.718,10.234,2.905,4.735
Rhode Island,Bristol County,2020-02-25,-12.046,18.297,0.031,3.956,4.606,2.354
Rhode Island,Bristol County,2020-02-26,-18.145,7.018,-0.766,6.589,3.723,3.312
Rhode Island,Bristol County,2020-02-27,-12.842,5.057,-0.098,2.101,2.962,3.341
Rhode Island,Bristol County,2020-02-28,-12.55,2.167,-0.554,1.478,6.575,6.43
Rhode Island,Bristol County,2020-02-29,-16.478,31.208,-1.44,9.841,5.057,1.812
Rhode Island,Bristol County,2020-03-01,-13.021,-2.661,-1.344,11.83,8.853,7.622
Rhode Island,Bristol County,2020-03-02,-13.758,34.452,-0.693,10.234,-0.968,2.525
Rhode Island,Bristol County,2020-03-03,-6.378,60.99,-0.797,10.549,2.203,-0.589
Rhode Island,Bristol County,2020-03-04,-18.817,21.522,-0.557,8.471,-1.372,
Rhode Island,Bristol County,2020-03-05,-9.275,54.108,-0.879,7.505,3.555,1.822
Rhode Island,Bristol County,2020-03-06,-18.825,7.802,0.592,-0.246,-1.127,3.537
Rhode Island,Bristol County,2020-03-07,-22.952,35.542,-0.49,3.6,-3.287,0.906
Rhode Island,Bristol County,2020-03-08,-22.321,68.191,-0.842,11.83,4.274,7.622
Rhode Island,Bristol County,2020-03-09,-15.068,165.26,-0.795,20.833,-3.292,-3.788
Rhode Island,Bristol County,2020-03-10,-10.629,65.056,0.101,9.889,-6.208,-4.708
Rhode Island,Bristol County,2020-03-11,-16.129,56.145,0.643,6.589,-7.25,-2.408
Rhode Island,Bristol County,2020-03-12,2.14,33.375,1.097,11.707,-9.282,-3.341
Rhode Island,Bristol County,2020-03-13,15.06,-9.536,4.074,3.694,-21.227,-4.18
Rhode Island,Bristol County,2020-03-14,-1.177,98.391,3.361,-0.72,-15.676,
Rhode Island,Bristol County,2020-03-15,-13.021,80.832,4.254,-8.544,-20.758,-7.622
Rhode Island,Bristol County,2020-03-16,5.241,41.45,8.84,-4.02,-32.536,-28.093
Rhode Island,Bristol County,2020-03-17,-4.252,-8.64,14.199,-35.601,-39.85,-38.842
Rhode Island,Bristol County,2020-03-18,-6.048,107.611,13.711,-30.434,-40.755,-39.74
Rhode Island,Bristol County,2020-03-19,-7.848,-16.182,17.492,-41.126,-52.729,-43.732
Rhode Island,Bristol County,2020-03-20,-5.02,55.047,17.532,-36.2,-46.775,-41.152
