state,county,date,grocery/pharmacy,parks,residential,retail/recreation,transitstations,workplace
AT,Overall,2020-02-23,23.233,4.432,-0.271,3.799,5.259,2.377
AT,Overall,2020-02-24,9.792,25.055,-0.504,8.879,3.099,2.095
AT,Overall,2020-02-25,9.61,59.695,0.039,13.059,6.566,0.473
AT,Overall,2020-02-26,10.445,8.001,1.365,-2.895,-1.859,-0.124
AT,Overall,2020-02-27,7.169,8.899,0.594,0.723,0.474,1.354
AT,Overall,2020-02-28,8.784,-0.882,0.799,-0.591,-1.592,0.908
AT,Overall,2020-02-29,2.857,8.983,0.324,2.34,0.081,0.545
AT,Overall,2020-03-01,8.476,6.39,0.089,-0.382,0.717,1.554
AT,Overall,2020-03-02,5.879,16.246,-0.733,1.592,1.052,2.731
AT,Overall,2020-03-03,3.572,-0.655,0.589,-1.102,-2.993,1.921
AT,Overall,2020-03-04,4.516,12.078,-0.27,2.479,0.392,1.512
AT,Overall,2020-03-05,2.881,4.37,-0.278,1.106,-0.114,1.481
AT,Overall,2020-03-06,2.901,-6.739,0.448,-0.86,-2.221,1.125
AT,Overall,2020-03-07,0.009,-2.167,0.353,4.228,-3.487,-0.045
AT,Overall,2020-03-08,14.014,41.887,-1.589,13.747,4.61,1.22
AT,Overall,2020-03-09,4.169,1.851,-0.175,-0.549,-2.634,1.369
AT,Overall,2020-03-10,10.479,8.748,0.366,-2.672,-2.928,0.94
AT,Overall,2020-03-11,17.381,11.835,1.182,-6.497,-7.757,-1.122
AT,Overall,2020-03-12,24.128,17.982,1.703,-9.841,-9.337,-2.848
AT,Overall,2020-03-13,46.547,-20.29,5.016,-19.973,-20.007,-5.629
AT,Overall,2020-03-14,-7.487,-16.973,8.096,-35.286,-33.819,-9.456
AT,Overall,2020-03-15,-31.709,-12.629,7.69,-58.663,-42.663,-18.37
AT,Overall,2020-03-16,-14.354,-36.992,18.842,-70.831,-56.509,-43.49
AT,Overall,2020-03-17,-31.61,-43.248,23.622,-79.507,-65.813,-55.111
AT,Overall,2020-03-18,-29.751,-23.609,23.98,-78.882,-64.928,-57.623
AT,Overall,2020-03-19,-28.588,-32.173,25.248,-79.706,-66.904,-59.704
AT,Overall,2020-03-20,-27.578,-32.37,25.7,-81.15,-68.318,-59.565
AT,Overall,2020-03-21,-39.264,-72.882,20.19,-87.977,-75.588,-53.579
AT,Overall,2020-03-22,-69.091,-60.066,15.162,-89.762,-76.086,-54.096
AT,Overall,2020-03-23,-31.065,-57.164,25.216,-79.558,-71.577,-59.975
AT,Overall,2020-03-24,-32.388,-44.362,26.02,-80.342,-70.684,-61.364
AT,Overall,2020-03-25,-33.907,-57.653,26.818,-81.476,-72.756,-61.697
AT,Overall,2020-03-26,-31.44,-59.08,27.509,-81.234,-72.292,-61.867
AT,Overall,2020-03-27,-26.352,-38.643,26.59,-79.962,-69.776,-60.547
AT,Overall,2020-03-28,-30.559,-20.765,16.591,-82.61,-65.997,-48.869
AT,Overall,2020-03-29,-64.499,-42.748,13.697,-87.184,-71.447,-51.36
AT,Overall,2020-03-30,-31.081,-57.292,24.556,-77.948,-70.744,-58.6
AT,Overall,2020-03-31,-24.463,-47.081,24.703,-77.263,-69.315,-59.155
AT,Overall,2020-04-01,-29.925,-34.105,24.275,-77.053,-67.089,-58.974
AT,Overall,2020-04-02,-29.028,-36.28,24.965,-77.103,-67.586,-59.446
AT,Overall,2020-04-03,-25.038,-45.995,25.717,-79.102,-68.721,-59.307
AT,Overall,2020-04-04,-30.423,-36.204,16.989,-82.436,-66.899,-47.833
AT,Overall,2020-04-05,-54.908,-11.338,11.859,-82.153,-64.096,-46.543
